Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,26,2006.0,10,361,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8,322.0,1020,1
Super Mario Bros.,11,1985.0,4,361,29.08,3.58,6.81,0.77,40.24,70.0,4.0,7.8,4.0,1539,1
Mario Kart Wii,26,2008.0,6,361,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,1020,1
Wii Sports Resort,26,2009.0,10,361,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8,192.0,1020,1
Pokemon Red/Pokemon Blue,5,1996.0,7,361,11.27,8.89,10.22,1.0,31.37,70.0,4.0,7.8,4.0,1539,1
Tetris,5,1989.0,5,361,23.2,2.26,4.22,0.58,30.26,70.0,4.0,7.8,4.0,1539,1
New Super Mario Bros.,4,2006.0,4,361,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,1020,1
Wii Play,26,2006.0,3,361,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,1020,1
New Super Mario Bros. Wii,26,2009.0,4,361,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,1020,1
Duck Hunt,11,1984.0,8,361,26.93,0.63,0.28,0.47,28.31,70.0,4.0,7.8,4.0,1539,1
Nintendogs,4,2005.0,9,361,9.05,10.95,1.93,2.74,24.67,70.0,4.0,7.8,4.0,1539,1
Mario Kart DS,4,2005.0,6,361,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,1020,1
Pokemon Gold/Pokemon Silver,5,1999.0,7,361,9.0,6.18,7.2,0.71,23.1,70.0,4.0,7.8,4.0,1539,1
Wii Fit,26,2007.0,10,361,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,1020,1
Kinect Adventures!,28,2010.0,3,325,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,617,1
Wii Fit Plus,26,2009.0,10,361,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,1020,1
Grand Theft Auto V,17,2013.0,0,497,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,1220,5
Grand Theft Auto: San Andreas,16,2004.0,0,497,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9,1588.0,1220,5
Super Mario World,23,1990.0,4,361,12.78,3.75,3.54,0.55,20.61,70.0,4.0,7.8,4.0,1539,1
Brain Age: Train Your Brain in Minutes a Day,4,2005.0,3,361,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,1020,1
Pokemon Diamond/Pokemon Pearl,4,2006.0,7,361,6.38,4.46,6.04,1.36,18.25,70.0,4.0,7.8,4.0,1539,1
Super Mario Land,5,1989.0,4,361,10.83,2.71,4.18,0.42,18.14,70.0,4.0,7.8,4.0,1539,1
Super Mario Bros. 3,11,1988.0,4,361,9.54,3.44,3.84,0.46,17.28,70.0,4.0,7.8,4.0,1539,1
